"point","date","mesure","detectionLimit","x","y"
"point298",2011-09-29,0.200000002980232,0.200000002980232,3430.56699999998,5930.2089999998
"point742",2011-09-29,33,33,2494.14799999999,6790.83499999996
"point404",2011-09-29,0,0.100000001490116,2672.44500000001,5353.78100000042
"point440",2011-09-29,1.5,1.5,2753.89500000002,5771.00800000038
"point419",2011-09-29,19,19,2773.43800000002,6053.34700000007
"point012",2011-09-29,0,0.100000001490116,2765.01000000001,4854.71700000018
"point413",2011-09-30,7.80000019073486,7.80000019073486,2765.34700000001,5844.01300000027
"point421",2011-09-30,41,41,2464.848,6258.47599999979
"point013",2011-09-30,0,0.100000001490116,3083.05699999997,5247.28600000031
"point423",2011-10-03,15,15,2231.54100000003,6172.54499999993
"point016",2011-10-03,10,10,2255.52000000002,7218.53600000031
"point333",2011-10-04,12,12,2614.07500000001,6286.15000000037
"point334",2011-10-04,2.40000009536743,2.40000009536743,2698.39399999997,6137.17899999954
"point339",2011-10-04,0.300000011920929,0.300000011920929,2817.47700000001,5978.6660000002
"point340",2011-10-04,0,0.100000001490116,2065.65600000002,5651.32799999975
"point325",2011-10-04,0,0.100000001490116,1818.23499999999,5624.53600000031
"point326",2011-10-04,0,0.100000001490116,1941.67599999998,5642.43900000025
"point329",2011-10-04,8.80000019073486,8.80000019073486,2160.74900000001,5954.87600000016
"point332",2011-10-04,31,31,2422.76899999997,6318.75499999989
"point083",2011-10-05,1,1,2268.12199999997,5805.67800000031
"point280",2011-10-11,143,143,2479.55099999998,6425.39099999983
"point284",2012-02-29,7.09999990463257,7.09999990463257,1881.03000000003,6002.82600000035
"point345",2012-02-29,0,0.100000001490116,2485.11300000001,6764.7790000001
"point370",2012-02-29,0,0.100000001490116,1833.02500000002,6361.75700000022
"point371",2012-02-29,0,0.100000001490116,1837.22100000002,6359.81099999975
"point379",2012-02-29,2.90000009536743,2.90000009536743,2296.10399999999,6632.81699999981
"point430",2012-02-29,5.80000019073486,5.80000019073486,2502.34000000003,6712.1679999996
"point447",2012-02-29,38,38,1860.93599999999,6217.20399999991
"point475",2012-02-29,74,74,2503.462,6702.12799999956
"point376",2012-03-01,9.69999980926514,9.69999980926514,1839.20500000002,6760.95199999958
"point380",2012-03-01,106,106,2078.55699999997,6699.4040000001
"point403",2012-03-01,39,39,1840.77100000001,6761.69000000041
"point432",2012-03-01,183,183,2075.337,6700.03699999955
"point483",2012-03-01,27,27,2011.51000000001,6555.70100000035
"point743",2012-03-01,79,79,2031.788,6607.68099999987
"point282",2012-03-02,8.89999961853027,8.89999961853027,2154.25199999998,6386.59200000018
"point374",2012-03-02,0,0.100000001490116,1736.038,6320.97400000039
"point384",2012-03-02,4.30000019073486,4.30000019073486,2421.97200000001,5905.39800000004
"point387",2012-03-02,2.29999995231628,2.29999995231628,2365.18199999997,6448.50999999978
"point461",2012-03-02,23,23,1987.56099999999,6450.89699999988
"point463",2012-03-02,17,17,2045.658,6491.63200000022
"point471",2012-03-02,162,162,2373.50900000002,6454.21300000045
"point016",2012-03-05,14,14,2255.52000000002,7218.53600000031
"point021",2012-03-05,0,0.100000001490116,1289.36499999999,6796.8629999999
"point357",2012-03-05,0,0.100000001490116,1565.13699999999,5646.3320000004
"point363",2012-03-05,180,180,1671.70000000001,7366.18200000003
"point442",2012-03-05,3.5,3.5,1781.62599999999,6327.51400000043
"point467",2012-03-05,1.29999995231628,1.29999995231628,1736.49200000003,6327.78100000042
"point480",2012-03-05,0.800000011920929,0.800000011920929,1704.36599999998,6316.29600000009
"point279",2012-03-06,1.70000004768372,1.70000004768372,2896.83399999997,6190.54800000042
"point421",2012-03-06,31,31,2464.848,6258.47599999979
"point439",2012-03-06,63,63,2507.429,6590.33000000007
"point469",2012-03-06,58,58,2427.74800000002,6644.97800000012
"point472",2012-03-06,67,67,2268.62099999998,6470.03000000026
"point009",2012-03-07,2.09999990463257,2.09999990463257,2749.32900000003,6674.71999999974
"point401",2012-03-07,1.29999995231628,1.29999995231628,2702.51699999999,6878.70000000019
"point448",2012-03-07,0,0.100000001490116,1631.46999999997,6153.81599999964
"point455",2012-03-07,22,22,1942.73700000002,6389.45399999991
"point481",2012-03-07,5.40000009536743,5.40000009536743,1767.61099999998,6240.48699999973
"point424",2012-03-08,89,89,2721.72700000001,6374.3339999998
"point437",2012-03-08,0.899999976158142,0.899999976158142,2911.19900000002,6345.375
"point453",2012-03-08,50,50,2635.07199999999,6390.23400000017
"point344",2012-03-29,0,0.100000001490116,2484.94900000002,6762.94000000041
"point378",2012-03-29,80,80,2188.56099999999,6492.65899999999
"point355",2012-05-23,0,0.100000001490116,1868.21799999999,6214.45799999963
"point356",2012-05-23,0,0.100000001490116,1864.87800000003,6215.86199999973
