"points","date","value","x","y","valuePrec1","valuePrec2","neighbours1value","neighbours1valuePrec1","neighbours1valuePrec2","neighbours2value","neighbours2valuePrec1","neighbours2valuePrec2","neighbours3value","neighbours3valuePrec1","neighbours3valuePrec2"
"point375",2014-02-01,0,1717.66600000003,6493.03699999955,0,0,NA,0,0,NA,0,105.395982514868,NA,113.503674532086,69.6377874507995
"point007",2014-02-01,0,1906.44400000002,9015.15600000042,144.503497587072,112.895382323655,NA,0,0,NA,0,0,NA,0,0
"point439",2014-02-01,0,2507.429,6590.33000000007,0,0,NA,0,0,NA,508.186819474192,447.886480719199,NA,351.707328153756,308.366708917841
"point387",2014-02-01,0,2365.18199999997,6448.50999999978,239.76607027487,144.408029480775,NA,142.984904645704,87.9284030231402,NA,0,0,NA,0,0
"point385",2014-02-01,0,2051.31199999998,6141.61899999995,123.157891155008,101.746795431592,NA,210.331026133934,209.50415178446,NA,0,0,NA,341.751600461467,330.558003861939
"point382",2014-02-01,0,1626.11300000001,6018.84900000039,0,0,NA,0,0,NA,283.175958149283,243.957381612495,NA,288.753129137972,249.609587697771
"point073",2014-02-01,0,2434.31099999999,5702.31900000013,0,0,NA,292.263416694153,241.948935689449,NA,415.255453114409,408.899603653314,NA,0,0
"point286",2014-02-01,0,2579.57699999999,5760.66500000004,193.566786776163,206.37877200776,NA,0,0,NA,0,0,NA,1314.81035741977,1048.20922391322
"point280",2014-02-01,0,2479.55099999998,6425.39099999983,323.288091758003,259.969740128143,NA,381.782176086367,317.464961364046,NA,0,0,NA,0,0
"point079",2014-02-01,0,2199.47999999998,6267.82400000002,229.56120588392,191.868913101598,NA,236.556830844925,197.748229533568,NA,0,0,NA,268.561731500572,222.966237796577
"point080",2014-02-01,0,2640.41200000001,5942.70799999963,76.0691123454965,46.3358029462094,NA,0,0,NA,0,0,NA,0,0
"point397",2014-02-01,0,2251.17999999999,6389.79700000025,286.973005333638,233.503555761964,NA,268.561731500572,222.966237796577,NA,0,0,NA,0,0
"point006",2014-02-01,0,2494.07900000003,6819.44900000002,18.0566563603229,161.330594033215,NA,0,0,NA,85.0359476580549,57.2235671403507,NA,85.00700163072,57.2028470689146
"point412",2014-02-01,0,2304.533,5681.82199999969,307.629279291876,250.207478067324,NA,269.460661781389,208.462604717709,NA,0,0,NA,0,0
"point347",2014-02-01,0,2472.90100000001,5629.99700000044,0,0,NA,415.255453114409,408.899603653314,NA,292.263416694153,241.948935689449,NA,0,0
"point349",2014-02-01,0,2631.728,6393.27099999972,674.09213703207,498.960518756738,NA,0,0,NA,0,0,NA,288.373472874971,186.438994133736
"point424",2014-02-01,0,2721.72700000001,6374.3339999998,73.6901011004882,67.2543833877878,NA,80.684673942973,44.5974950590276,NA,0,0,NA,550.673653049224,521.168659638994
"point422",2014-02-01,0,2247.027,6096.62799999956,0,0,NA,0,0,NA,341.751600461467,330.558003861939,NA,0,0
"point416",2014-02-01,0,2530.44799999997,5847.64599999972,1314.81035741977,1048.20922391322,NA,0,0,NA,0,0,NA,0,0
"point084",2014-02-01,0,2214.88299999997,6259.72800000012,236.556830844925,197.748229533568,NA,229.56120588392,191.868913101598,NA,0,0,NA,268.561731500572,222.966237796577
"point085",2014-02-01,0,2236.73499999999,6254.97499999963,0,0,NA,236.556830844925,197.748229533568,NA,229.56120588392,191.868913101598,NA,268.561731500572,222.966237796577
"point411",2014-02-01,0,2475.46399999998,5710.47499999963,292.263416694153,241.948935689449,NA,0,0,NA,0,0,NA,0,0
"point414",2014-02-01,0,2696.35200000001,6247.67100000009,1055.13531117499,918.975928933813,NA,0,721.947445413885,NA,0,0,NA,0,0
"point350",2014-02-01,0,2637.77000000002,6396.32699999958,0,0,NA,0,0,NA,674.09213703207,498.960518756738,NA,288.373472874971,186.438994133736
"point359",2014-02-01,0,2200.092,5679.16399999987,0,0,NA,269.460661781389,208.462604717709,NA,307.629279291876,250.207478067324,NA,378.782690329417,365.123319198436
"point474",2014-02-01,0,2489.57900000003,6449.96999999974,381.782176086367,317.464961364046,NA,323.288091758003,259.969740128143,NA,0,0,NA,0,0
"point279",2014-02-01,0,2896.83399999997,6190.54800000042,210.406377199047,211.352826150034,NA,0,0,NA,0,0,NA,544.240928508264,523.590009219209
